Unnamed: 0,Unnamed: 1,DATA,DATA.1
Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh)
15,1579791600000,0.045,1.983
16,1579795200000,0.009000000000000001,1.101
17,1579798800000,0.012,7.881
18,1579802400000,0,15.0084
19,1579806000000,0.012,3.1548
20,1579809600000,0.009000000000000001,3.5574
21,1579813200000,0,1.779
22,1579816800000,0.012,1.494
23,1579820400000,0,0.7239276
0,1579824000000,0,0.119988
1,1579827600000,0,0.1439856
2,1579831200000,0,0.1459854
3,1579834800000,0,0.792
4,1579838400000,0,0.6900000000000001
5,1579842000000,0.006,0.315
6,1579845600000,0,0.963
7,1579849200000,0.009000000000000001,2.187
8,1579852800000,0.12,1.176
9,1579856400000,0.243,0.5700000000000001
10,1579860000000,0.378,0.735
11,1579863600000,0.276,2.403
12,1579867200000,0.34800000000000003,2.958
13,1579870800000,0.327,13.908
14,1579874400000,0.261,2.073
15,1579878000000,0.018000000000000002,2.322
16,1579881600000,0.018000000000000002,0.906
17,1579885200000,0.003,1.851
18,1579888800000,0.012,7.1148
19,1579892400000,0.015,8.184
20,1579896000000,0.003,4.092
21,1579899600000,0.012,5.43
22,1579903200000,0.015,1.5150000000000001
23,1579906800000,0,0.8439156
0,1579910400000,0,0.3019698
1,1579914000000,0,0.169983
2,1579917600000,0,0.3459654
3,1579921200000,0,0.222
4,1579924800000,0,0.231
5,1579928400000,0.009000000000000001,0.246
6,1579932000000,0,2.883
7,1579935600000,0.216,1.536
8,1579939200000,0.525,0.489
9,1579942800000,2.082,0.47400000000000003
10,1579946400000,4.881,0.675
11,1579950000000,5.619,0.447
12,1579953600000,3.201,0.9480000000000001
13,1579957200000,3.051,1.176
14,1579960800000,0.459,0.774
15,1579964400000,0.084,0.297
16,1579968000000,0.015,1.671
17,1579971600000,0,2.5380000000000003
18,1579975200000,0.003,2.5872
19,1579978800000,0.015,3.0162
20,1579982400000,0.003,5.2206
21,1579986000000,0.006,1.542
22,1579989600000,0.003,32.517
23,1579993200000,0,0.7739226
0,1579996800000,0,0.39996000000000004
1,1580000400000,0,0.19998000000000002
